Parent	Daughters
aari1238	aari1239
aari1238	gayi1237
abab1240	amba1263
abab1240	bali1274
abab1240	beek1238
abab1240	bera1259
abab1240	bhel1238
abab1240	bila1255
abab1240	bodo1272
abab1240	bogu1241
abab1240	bwaa1238
abab1240	homa1239
abab1240	kaik1247
abab1240	kang1285
abab1240	kang1286
abab1240	kari1306
abab1240	komo1260
abab1240	lika1243
abab1240	maye1238
abab1240	ngbe1238
abab1240	ngbi1238
abab1240	ngel1238
abab1240	nyan1303
abab1240	pagi1243
aban1244	aban1242
aban1244	ekaj1238
aban1244	nnam1238
abel1234	aben1249
abel1234	boto1242
abkh1242	abaz1241
abkh1242	abkh1244
abkh1242	adyg1241
abkh1242	kaba1278
abkh1242	ubyk1235
abkh1243	abaz1241
abkh1243	abkh1244
abob1234	bank1256
abob1234	baro1252
abua1243	abua1244
abua1243	odua1238
acha1252	acha1249
acha1252	lian1258
acha1252	luxi1238
acha1252	ngoc1235
ache1247	ache1245
ache1247	toch1257
adam1254	nort2770
adam1254	sout2782
adam1257	bolg1251
adam1257	bong1282
adam1257	buaa1245
adam1257	fani1244
adam1257	gula1265
adam1257	kawa1291
adam1257	koke1240
adam1257	niel1243
adam1257	noyy1238
adam1257	tuni1251
adam1257	zang1249
adan1252	adan1251
adan1252	hama1240
adan1252	kabo1247
adho1241	adho1243
adho1241	alur1250
adho1241	luok1236
adho1242	adho1243
adho1242	luok1236
admi1239	andr1248
admi1239	balu1257
admi1239	bipi1237
admi1239	eluu1241
admi1239	eree1241
admi1239	herm1237
admi1239	kani1282
admi1239	kani1283
admi1239	kele1258
admi1239	kheh1237
admi1239	koro1309
admi1239	kurt1250
admi1239	leip1237
admi1239	lele1270
admi1239	lenk1247
admi1239	liku1243
admi1239	loni1238
admi1239	louu1245
admi1239	moke1240
admi1239	mond1265
admi1239	nali1245
admi1239	naun1237
admi1239	nyin1250
admi1239	pakt1239
admi1239	papi1254
admi1239	penc1239
admi1239	pona1250
admi1239	seim1238
admi1239	sori1242
admi1239	tita1241
admi1239	tulu1259
admi1239	wuvu1239
afen1234	ghot1243
afen1234	unem1238
afen1234	yekh1238
afgh1238	taji1248
afgh1238	uzbe1248
afri1273	afri1274
afri1273	oorl1238
afro1255	aasa1238
afro1255	afad1236
afro1255	afar1241
afro1255	ajaw1236
afro1255	akka1240
afro1255	alab1254
afro1255	alag1248
afro1255	alge1239
afro1255	alge1240
afro1255	amha1245
afro1255	amor1239
afro1255	anci1244
afro1255	anci1245
afro1255	anda1287
afro1255	arbo1245
afro1255	argo1244
afro1255	assy1241
afro1255	auyo1240
afro1255	awee1242
afro1255	awji1241
afro1255	awng1244
afro1255	baca1245
afro1255	baca1246
afro1255	bade1248
afro1255	baha1259
afro1255	bais1246
afro1255	bald1241
afro1255	bana1305
afro1255	bare1279
afro1255	barz1241
afro1255	bata1314
afro1255	bath1244
afro1255	beel1236
afro1255	beja1238
afro1255	beln1234
afro1255	bidi1241
afro1255	bili1260
afro1255	birg1239
afro1255	boga1251
afro1255	bogh1241
afro1255	boht1238
afro1255	boon1242
afro1255	boor1242
afro1255	bora1271
afro1255	budu1265
afro1255	bura1292
afro1255	bure1242
afro1255	burj1242
afro1255	buru1320
afro1255	buss1239
afro1255	buwa1243
afro1255	cakf1236
afro1255	cent2194
afro1255	chad1249
afro1255	chak1275
afro1255	chal1275
afro1255	chen1266
afro1255	ciba1236
afro1255	cine1238
afro1255	ciwo1236
afro1255	clas1252
afro1255	clas1253
afro1255	copt1239
afro1255	cuvo1236
afro1255	cypr1248
afro1255	daas1238
afro1255	daba1260
afro1255	daha1245
afro1255	daha1247
afro1255	dang1274
afro1255	dass1243
afro1255	deno1239
afro1255	dera1248
afro1255	dghw1239
afro1255	dhof1235
afro1255	dira1242
afro1255	diri1259
afro1255	dugw1239
afro1255	duhw1236
afro1255	duwa1244
afro1255	dyar1234
afro1255	east2652
afro1255	east2690
afro1255	ebla1238
afro1255	egyp1246
afro1255	egyp1253
afro1255	elmo1238
afro1255	fali1285
afro1255	fyer1241
afro1255	gaan1243
afro1255	gabr1253
afro1255	gada1262
afro1255	gafa1240
afro1255	gala1264
afro1255	garr1259
afro1255	gava1241
afro1255	gaww1239
afro1255	gede1246
afro1255	geez1241
afro1255	geji1246
afro1255	gera1246
afro1255	geru1240
afro1255	ghad1239
afro1255	ghom1257
afro1255	gida1247
afro1255	giiw1236
afro1255	giri1245
afro1255	gize1234
afro1255	glav1244
afro1255	goem1240
afro1255	goro1270
afro1255	guan1277
afro1255	gude1246
afro1255	gudu1250
afro1255	gudu1252
afro1255	gulf1241
afro1255	guru1271
afro1255	gvok1239
afro1255	gwan1268
afro1255	hadi1240
afro1255	hadr1235
afro1255	hadr1236
afro1255	hama1241
afro1255	hara1271
afro1255	hars1241
afro1255	hass1238
afro1255	haus1257
afro1255	hdii1240
afro1255	hebr1245
afro1255	herd1236
afro1255	hert1241
afro1255	hija1235
afro1255	hoby1242
afro1255	holm1250
afro1255	huba1236
afro1255	hula1244
afro1255	hwan1240
afro1255	hyaa1239
afro1255	inor1238
afro1255	iraq1241
afro1255	jaba1234
afro1255	jara1274
afro1255	jewi1240
afro1255	jiid1238
afro1255	jilb1238
afro1255	jimi1254
afro1255	jimi1255
afro1255	jina1244
afro1255	jonk1238
afro1255	jude1263
afro1255	jude1264
afro1255	jude1265
afro1255	jude1266
afro1255	jude1267
afro1255	juuu1243
afro1255	kaba1292
afro1255	kaby1243
afro1255	kaja1254
afro1255	kamb1316
afro1255	kamw1239
afro1255	kare1348
afro1255	kari1316
afro1255	kera1255
afro1255	khol1240
afro1255	khor1274
afro1255	kimr1241
afro1255	kirb1236
afro1255	kiry1234
afro1255	kist1241
afro1255	koen1239
afro1255	kofy1242
afro1255	kons1243
afro1255	koys1242
afro1255	kubi1239
afro1255	kule1247
afro1255	kush1236
afro1255	kutt1236
afro1255	kwaa1269
afro1255	kwad1248
afro1255	kwan1285
afro1255	lagw1237
afro1255	lama1288
afro1255	lele1276
afro1255	libi1250
afro1255	liby1240
afro1255	lish1245
afro1255	lish1246
afro1255	lish1247
afro1255	luri1256
afro1255	maak1236
afro1255	maay1238
afro1255	mabi1242
afro1255	mada1293
afro1255	mafa1239
afro1255	maje1243
afro1255	malg1250
afro1255	malg1251
afro1255	malt1254
afro1255	mang1416
afro1255	mang1417
afro1255	marb1239
afro1255	marg1265
afro1255	marg1266
afro1255	masa1322
afro1255	masl1241
afro1255	masm1239
afro1255	mata1306
afro1255	mawa1270
afro1255	maza1304
afro1255	mbar1260
afro1255	mbed1242
afro1255	mbuk1243
afro1255	mbur1239
afro1255	mefe1242
afro1255	mehr1241
afro1255	mere1246
afro1255	mesm1239
afro1255	mesm1243
afro1255	meso1252
afro1255	mesq1240
afro1255	miga1249
afro1255	milt1241
afro1255	mina1276
afro1255	mina1279
afro1255	mire1238
afro1255	mish1244
afro1255	miya1266
afro1255	mlah1239
afro1255	mofu1248
afro1255	mogu1251
afro1255	molo1266
afro1255	mont1280
afro1255	moro1292
afro1255	mpad1242
afro1255	mser1242
afro1255	mubi1246
afro1255	muku1242
afro1255	mund1334
afro1255	muse1242
afro1255	musg1254
afro1255	musk1256
afro1255	muya1243
afro1255	mwag1236
afro1255	nafu1238
afro1255	najd1235
afro1255	nanc1253
afro1255	ndam1251
afro1255	ngal1301
afro1255	ngam1282
afro1255	ngas1240
afro1255	nget1241
afro1255	nggw1242
afro1255	ngiz1242
afro1255	ngwa1251
afro1255	nort3046
afro1255	nort3047
afro1255	nort3139
afro1255	nort3142
afro1255	nubi1253
afro1255	nucl1683
afro1255	nucl1695
afro1255	nucl1696
afro1255	nucl1706
afro1255	nyam1285
afro1255	nzan1240
afro1255	olda1245
afro1255	oman1239
afro1255	orma1241
afro1255	paaa1242
afro1255	pale1261
afro1255	park1239
afro1255	pero1241
afro1255	peve1243
afro1255	phoe1239
afro1255	piya1245
afro1255	polc1243
afro1255	psik1239
afro1255	puni1241
afro1255	puta1243
afro1255	pyap1239
afro1255	qata1238
afro1255	qima1242
afro1255	rend1243
afro1255	ronn1241
afro1255	saba1276
afro1255	saba1279
afro1255	saho1246
afro1255	said1239
afro1255	sama1313
afro1255	sama1314
afro1255	sana1295
afro1255	saru1245
afro1255	sawk1238
afro1255	saya1246
afro1255	seba1251
afro1255	sena1268
afro1255	sene1271
afro1255	senh1238
afro1255	shaa1247
afro1255	shar1249
afro1255	sheh1240
afro1255	shih1239
afro1255	sida1246
afro1255	silt1240
afro1255	siri1278
afro1255	siwi1239
afro1255	soko1263
afro1255	soma1255
afro1255	somr1248
afro1255	soqo1240
afro1255	sout3051
afro1255	sout3123
afro1255	stan1318
afro1255	suda1236
afro1255	suda1237
afro1255	suku1272
afro1255	tach1249
afro1255	tach1250
afro1255	taga1278
afro1255	taha1241
afro1255	taiz1242
afro1255	taji1248
afro1255	tala1295
afro1255	tall1250
afro1255	tama1365
afro1255	tamb1267
afro1255	tamk1242
afro1255	tari1263
afro1255	tawa1286
afro1255	taya1257
afro1255	tazn1238
afro1255	tema1243
afro1255	tera1251
afro1255	tesh1239
afro1255	tets1235
afro1255	tidi1241
afro1255	tigr1270
afro1255	tigr1271
afro1255	toba1280
afro1255	tora1267
afro1255	tsam1247
afro1255	tsuv1243
afro1255	tuma1260
afro1255	tumz1238
afro1255	tuni1259
afro1255	tuni1262
afro1255	tunn1238
afro1255	turo1239
afro1255	ubii1238
afro1255	ugar1238
afro1255	uzbe1248
afro1255	vame1236
afro1255	vemg1240
afro1255	waat1238
afro1255	wand1278
afro1255	warj1253
afro1255	west2721
afro1255	west2763
afro1255	wola1253
afro1255	wuzl1236
afro1255	xamt1239
afro1255	yaak1241
afro1255	yiwo1237
afro1255	zang1255
afro1255	zari1242
afro1255	zayy1238
afro1255	zeem1242
afro1255	zena1248
afro1255	zire1244
afro1255	zizi1238
afro1255	zulg1242
afro1255	zuma1239
afro1255	zumb1240
afro1259	daza1244
aghu1259	aghu1253
aghu1259	lezg1247
agiy1234	agii1245
agiy1234	yapu1240
agne1238	abee1242
agne1238	abid1235
agne1238	adio1239
agoa1234	abuu1241
agoa1234	goro1261
agoi1245	agoi1246
agoi1245	bakp1238
agoi1245	doko1243
ahkk1235	aari1239
ahkk1235	gayi1237
ahkk1235	hame1242
ahkk1235	karo1297
ahou1236	aoua1234
ahou1236	redg1235
aian1241	aiom1240
aian1241	anor1241
aimo1246	guer1242
aimo1246	kren1239
aimo1247	aimo1244
aimo1247	syri1242
ainu1252	ainu1240
ainu1252	kuri1271
ainu1252	sakh1245
aisi1234	magi1243
aisi1234	musa1266
aizi1248	mobu1235
aizi1248	tiag1235
akak1254	akaa1242
akak1254	kelo1246
akak1254	molo1257
akan1251	abro1238
akan1251	akan1250
akan1251	wasa1244
akha1246	akeu1235
akha1246	akha1245
akha1246	chep1243
akha1246	muda1235
akla1240	akla1241
akla1240	mala1491
akpe1249	akpe1248
akpe1249	akuk1235
akpe1249	bini1246
akpe1249	dege1246
akpe1249	ehue1238
akpe1249	emai1241
akpe1249	enge1239
akpe1249	enwa1246
akpe1249	epie1238
akpe1249	eruw1238
akpe1249	esan1238
akpe1249	ghot1243
akpe1249	igwe1238
akpe1249	ikpe1243
akpe1249	isok1239
akpe1249	ivbi1241
akpe1249	iyay1238
akpe1249	okpa1238
akpe1249	okpe1249
akpe1249	okpe1250
akpe1249	olom1241
akpe1249	osos1238
akpe1249	sasa1247
akpe1249	uham1238
akpe1249	ukue1238
akpe1249	unem1238
akpe1249	urho1239
akpe1249	uvbi1238
akpe1249	yekh1238
akum1239	akum1238
akum1239	baaz1234
akum1239	beez1238
akun1243	akun1241
akun1243	saki1248
alab1247	alab1237
alab1247	apal1237
alab1247	koas1236
alab1255	alab1246
alab1255	cama1250
alas1255	cent2127
alas1255	paci1278
alba1267	arbe1236
alba1267	arva1236
alba1267	gheg1238
alba1267	tosk1239
alba1268	arbe1236
alba1268	arva1236
alba1268	tosk1239
alba1272	angu1242
alba1272	tyan1235
alba1272	yang1305
alba1272	yupu1235
alem1243	colo1254
alem1243	swab1242
alem1243	swis1247
alem1243	wals1238
algi1248	algo1255
algi1248	arap1274
algi1248	atik1240
algi1248	caro1243
algi1248	cent2136
algi1248	chey1247
algi1248	chip1241
algi1248	east2542
algi1248	east2544
algi1248	gros1243
algi1248	kick1244
algi1248	loup1243
algi1248	mahi1248
algi1248	male1292
algi1248	meno1252
algi1248	mesk1242
algi1248	miam1252
algi1248	mikm1235
algi1248	mohe1244
algi1248	mont1268
algi1248	moos1236
algi1248	muns1251
algi1248	nant1249
algi1248	nask1242
algi1248	nawa1259
algi1248	nort1552
algi1248	nort2961
algi1248	otta1242
algi1248	pisc1239
algi1248	plai1258
algi1248	pota1247
algi1248	powh1243
algi1248	seve1240
algi1248	shaw1249
algi1248	siks1238
algi1248	sout2978
algi1248	swam1239
algi1248	unam1242
algi1248	wamp1249
algi1248	wamp1250
algi1248	west1510
algi1248	west2630
algi1248	wiyo1248
algi1248	wood1236
algi1248	yuro1248
algo1256	algo1255
algo1256	arap1274
algo1256	atik1240
algo1256	caro1243
algo1256	cent2136
algo1256	chey1247
algo1256	chip1241
algo1256	east2542
algo1256	east2544
algo1256	gros1243
algo1256	kick1244
algo1256	loup1243
algo1256	mahi1248
algo1256	male1292
algo1256	meno1252
algo1256	mesk1242
algo1256	miam1252
algo1256	mikm1235
algo1256	mohe1244
algo1256	mont1268
algo1256	moos1236
algo1256	muns1251
algo1256	nant1249
algo1256	nask1242
algo1256	nawa1259
algo1256	nort1552
algo1256	nort2961
algo1256	otta1242
algo1256	pisc1239
algo1256	plai1258
algo1256	pota1247
algo1256	powh1243
algo1256	seve1240
algo1256	shaw1249
algo1256	siks1238
algo1256	sout2978
algo1256	swam1239
algo1256	unam1242
algo1256	wamp1249
algo1256	wamp1250
algo1256	west1510
algo1256	west2630
