Language	Dialects
abaz1241	ashk1247
abaz1241	bezs1238
abaz1241	tapa1256
abee1242	abbe1238
abee1242	koss1238
abee1242	mori1266
abee1242	tiof1238
abid1235	enye1238
abid1235	ogbr1242
abkh1244	abzh1238
abkh1244	bzyb1238
abkh1244	samu1242
abua1244	cent2029
abua1244	emug1238
abua1244	okpe1247
abua1244	otap1238
abui1241	alak1254
abui1241	atim1239
abui1241	kobo1247
abun1252	abun1253
abun1252	abun1254
abun1252	abun1255
abuu1241	auwa1242
abuu1241	nucl1640
abuu1241	sabu1256
acat1239	acat1240
acat1239	plat1255
acat1239	zapo1435
acha1249	long1373
acha1249	main1270
acha1249	xian1249
ache1245	east2430
ache1245	west2504
achi1257	band1356
achi1257	baru1270
achi1257	buen1246
achi1257	daja1241
achi1257	pase1241
achi1257	pidi1241
achi1257	tuno1237
achu1248	achu1249
achu1248	shiw1235
acol1236	dhop1238
acol1236	labw1238
acol1236	nyak1263
adam1253	bilk1238
adam1253	garo1248
adam1253	kamb1295
adam1253	maro1243
adam1253	ngao1243
adam1253	noma1259
adan1247	adaa1238
adan1247	gbug1238
adan1247	krob1243
adan1247	ning1270
adan1247	osuu1238
adan1247	shai1238
adan1251	aimo1245
adas1235	east2476
adas1235	west2551
adel1244	lowe1404
adel1244	uppe1417
adon1237	botu1239
adon1237	dulh1234
adon1237	east2469
adon1237	east2470
adon1237	horo1249
adon1237	kiwa1252
adon1237	lama1298
adon1237	waiw1246
adon1237	wata1254
adon1237	west2544
adyg1241	abad1240
adyg1241	bezh1247
adyg1241	natu1243
adyg1241	shap1240
adyg1241	xaku1238
aeky1238	east2522
aeky1238	nort2932
aeky1238	sout2952
aerr1238	jame1238
aerr1238	jikr1238
afar1241	auss1240
afar1241	baad1239
afar1241	cent2192
afar1241	nort3052
afri1274	cape1241
afri1274	east2693
afri1274	oran1263
aghu1253	agul1244
aghu1253	gekx1238
aghu1253	kere1281
aghu1253	kosh1245
agob1244	agob1245
agob1244	ende1235
agob1244	kawa1281
agoi1246	ikoo1244
agus1235	adga1237
agus1235	suri1270
agus1235	umay1237
agwa1247	abay1238
agwa1247	abin1242
agwa1247	adim1238
agwa1247	erei1238
agwa1247	eton1252
agwa1247	nucl1375
agwa1247	orum1242
ahin1234	kaya1320
ahin1234	tino1235
aich1238	boya1241
aich1238	diee1238
aigh1235	aigo1239
aigh1235	apso1237
aigh1235	baoo1237
aika1237	masa1312
aima1241	chin1474
aima1241	firo1239
aima1241	jams1238
aima1241	mali1277
aima1241	mizm1238
aima1241	taim1248
aima1241	taim1249
aima1241	teim1238
aima1241	zain1238
aima1241	zohr1238
aimo1244	lang1312
ainu1240	hokk1243
ainu1240	tara1248
ajab1235	dogb1238
ajab1235	dogo1292
ajab1235	hwee1238
ajab1235	sikp1238
ajab1235	tado1245
ajab1235	tala1280
akaj1239	mixe1288
akan1250	agon1238
akan1250	ahaf1238
akan1250	akua1239
akan1250	akye1239
akan1250	asan1239
akan1250	asen1242
akan1250	dank1238
akan1250	fant1241
akan1250	kwaw1238
akan1250	twii1234
akha1245	akoo1247
akha1245	ason1245
akoo1248	elun1242
akoo1248	mwam1245
akoo1248	mwam1246
akoo1248	nino1238
akoo1248	nort2803
akoo1248	sout2818
akoo1248	west2478
akpe1248	akun1239
akpe1248	asee1238
akpe1248	daja1240
akpe1248	efif1238
akpe1248	esuk1238
akpe1248	gede1241
akpe1248	ibar1241
akpe1248	ikor1238
akpe1248	iyan1238
alac1244	atla1271
alac1244	cuat1239
alac1244	plan1238
alac1244	poto1253
alac1244	toto1307
alag1242	agwa1246
alag1242	assa1267
alag1242	doma1261
alag1242	kean1238
alam1246	kara1494
alam1246	kuve1239
alba1269	buhi1243
alba1269	dara1251
alba1269	libo1242
alba1269	liga1237
alba1269	oass1237
alco1235	petl1238
alco1235	xoch1238
aleu1260	east2533
aleu1260	west2616
alge1239	algi1247
alge1239	cons1245
alge1239	oran1236
algo1255	mini1254
algo1255	nort3290
alse1251	alse1252
alse1251	yaqu1250
alum1246	alum1247
alum1246	tesu1244
alun1238	cent2077
alun1238	cent2078
alun1238	kair1264
alun1238	nort2866
alun1238	sout2893
alur1250	joko1238
alur1250	jona1239
alur1250	mamb1303
alur1250	wany1245
alut1245	alut1246
alut1245	kara1472
alut1245	pala1340
alvi1241	alvi1242
alvi1241	vida1238
amah1245	maka1308
amah1245	ruta1241
amah1245	soah1237
amah1246	inuv1238
amah1246	viwi1238
amar1273	koto1251
amar1273	rois1241
amar1273	rois1242
amar1273	rois1243
amar1274	kisa1267
amba1263	kigu1238
amba1263	kyan1239
amba1263	suwa1240
amba1265	mana1293
amba1265	nucl1466
amba1265	rand1239
amba1269	nort2931
amba1269	sout2951
ambo1250	dobo1244
ambu1247	mapr1240
ambu1247	wing1239
ambu1247	wose1243
ambu1247	wose1244
amdo1237	hbro1238
amdo1237	rong1261
amdo1237	rong1262
amdo1237	rtah1238
amel1241	haij1242
amel1241	huar1254
amel1241	jaga1247
amga1235	bana1290
amga1235	burn1237
amis1246	cent2104
amis1246	chen1258
amis1246	sout2929
amis1246	tava1241
anaa1238	abak1242
anaa1238	ikot1238
anaa1238	ukan1238
anal1239	laiz1241
anal1239	muls1238
anci1242	aeol1234
anci1242	arca1234
anci1242	atti1240
anci1242	dori1248
anci1242	ioni1244
anci1242	nort3269
anci1245	dada1236
anci1245	duma1255
anci1245	hasa1249
anci1245	hism1236
anci1245	safa1245
anci1245	taym1240
ande1247	ayer1246
andi1255	gaga1250
andi1255	kvan1238
andi1255	muni1255
andi1255	rikv1238
andi1255	zilo1238
ando1256	ando1257
ando1256	urek1234
anem1248	auwa1241
anem1248	buni1247
anem1248	doma1263
anem1248	jari1243
anem1248	mori1270
anga1288	chak1268
anga1288	dzun1241
anga1288	kehe1240
anga1288	khon1248
anga1288	kohi1249
anga1288	mima1238
anga1288	mozo1238
anga1288	nali1243
anga1288	teng1262
anga1288	teny1242
anga1292	augu1243
anga1292	nipa1239
anga1292	waol1238
anga1294	megi1246
ango1254	naii1242
ango1254	sama1304
anii1245	akpe1247
anii1245	anan1238
anii1245	bala1303
anii1245	giko1238
anii1245	gile1238
anii1245	gise1241
anii1245	gise1242
anka1246	anka1247
anka1246	buuu1245
anka1246	miya1257
anka1246	sawu1242
anka1246	wiya1238
anka1246	wuna1250
anma1239	east2380
anma1239	west2442
anta1255	kibu1236
anta1255	main1284
anua1242	adoy1238
anua1242	coro1246
anua1242	lull1238
anua1242	open1238
anyi1245	abee1243
anyi1245	alan1248
anyi1245	anoo1238
anyi1245	aowi1238
anyi1245	bara1359
anyi1245	bini1245
anyi1245	bona1251
anyi1245	djua1238
anyi1245	inde1240
anyi1245	moro1280
anyi1245	sanv1241
aohe1237	aohe1238
aohe1237	sepu1237
aona1235	chan1311
aona1235	chon1286
aona1235	dord1238
aona1235	long1376
aona1235	mong1332
aona1235	teng1273
aona1235	yach1234
aona1235	yach1235
aoua1234	aouu1238
aoua1234	hong1242
apal1256	acii1238
apal1256	akii1238
apma1240	bwat1239
apma1240	lolt1237
apma1240	mels1237
apma1240	suru1259
apma1240	suru1260
apma1241	kamb1306
aput1237	ilpu1239
aput1237	lura1237
aput1237	wele1238
arag1245	cent1317
arag1245	east2273
arag1245	sout2609
arag1245	west2340
aral1243	aral1244
aral1243	mamb1308
aral1243	tabu1243
aram1260	edam1234
aram1260	guba1248
aran1237	domb1240
arbe1236	cala1254
arbe1236	camp1260
arbe1236	cent1955
arbe1236	sici1247
area1240	mara1398
area1240	nucl1476
areq1237	anta1257
areq1237	cota1243
areq1237	high1279
areq1237	nort2977
arif1239	arif1240
arif1239	mini1252
arig1246	afaa1238
arig1246	ajee1238
arig1246	arig1247
arig1246	erus1238
arig1246	esee1246
arig1246	igas1238
arig1246	ogee1238
arig1246	ojoo1238
arig1246	oyin1238
arig1246	udoo1238
arig1246	uroo1240
ariz1237	hano1247
arom1237	arma1245
arom1237	rram1234
arop1243	arop1244
arop1243	loke1237
aros1241	nucl1473
aros1241	wang1296
arua1261	arua1262
arva1236	nort2603
arva1236	sout2608
arva1236	thra1249
ashk1246	ashu1242
ashk1246	gram1239
ashk1246	suru1257
asho1236	chit1280
asho1236	khya1239
asho1236	lemy1239
asho1236	minb1243
asho1236	sain1244
asho1236	sand1269
asho1236	thay1247
asht1244	nucl1273
asht1244	tafr1239
asil1242	nege1241
asil1242	nucl1531
asil1242	uren1238
assa1263	jhar1240
assa1263	maya1277
assa1263	stan1302
assa1263	west2383
assa1269	eren1239
assa1269	girg1241
assa1269	mura1270
assa1269	sebu1242
assa1269	sung1270
assa1269	wala1265
assy1241	anha1242
assy1241	arad1238
assy1241	bazz1238
assy1241	bena1272
assy1241	cent2218
assy1241	daud1238
assy1241	dezz1235
assy1241	gava1245
assy1241	inis1238
assy1241	iran1268
assy1241	jilu1238
assy1241	lewi1238
assy1241	lowe1435
assy1241	marb1243
assy1241	noch1239
assy1241	nort3096
assy1241	quds1238
assy1241	sala1281
assy1241	sapn1238
assy1241	sipu1244
assy1241	sold1238
assy1241	tall1254
assy1241	terg1238
assy1241	tina1254
assy1241	tkhu1242
assy1241	uppe1449
assy1241	urmi1249
assy1241	urmi1250
assy1241	vann1248
assy1241	west2765
astu1245	astu1246
astu1245	cant1245
astu1245	cent1956
astu1245	east2272
astu1245	east2799
astu1245	leon1250
astu1245	west2339
astu1245	west2880
asur1254	brij1240
asur1254	manj1248
atak1252	east2802
atak1252	west2881
atay1247	mayr1237
atay1247	sqol1237
atii1237	baro1255
atii1237	mala1492
atti1239	bodi1251
atti1239	keti1245
atti1239	nain1239
aulu1238	boin1237
aulu1238	ones1240
aust1304	raiv1237
aust1304	rima1237
